sequenceID,small_end,big_end
1.1,-2.5,2.0
1.11,-1.25,2.0
1.15,-3.75,inf
1.6,-2.75,inf
1.9,-1.0,inf
106.11,-0.5,2.75
106.17,-2.25,2.75
106.5,-3.25,-0.5
106.6,-3.5,0.25
106.9,-3.25,inf
109.2,-1.5,0.75
109.8,-3.5,inf
11.1,-1.0,inf
11.4,-2.0,inf
12.1,-4.0,0.5
12.11,-2.25,2.75
12.17,-1.0,2.5
12.2,-3.25,1.75
12.6,-3.25,1.0
12.X,-2.75,0.75
128.12,-2.5,0.75
128.17,-0.5,2.5
128.2,-4.0,1.0
128.3,-2.25,1.25
128.6,-4.25,0.75
138.1,-2.0,1.5
139.3,-4.0,0.5
139.4,-5.75,-0.75
139.7,-2.75,2.0
145.1,-2.5,inf
145.17,-2.25,inf
145.19,-3.25,-0.75
145.2,-3.5,inf
145.3,-3.75,inf
145.4,-4.25,-0.25
145.6,-3.5,inf
145.7,-4.0,inf
149.1,-4.0,-1.0
149.11,-2.0,inf
149.2,-2.5,inf
149.6,-3.5,1.0
153.11,-1.0,inf
153.17,-1.5,0.25
153.18,-3.5,-0.25
153.2,-3.5,1.25
153.4,-3.5,0.5
153.7,-3.0,-0.25
162.1,-3.5,0.25
162.11,-1.5,1.25
162.17,-1.5,1.5
162.19,-2.75,0.0
162.22,-5.0,inf
162.3,-3.5,1.5
162.5,-1.75,1.25
162.7,-3.0,0.25
162.8,-5.0,inf
17.1,-2.75,0.75
17.11,-2.0,0.5
172.1,-2.0,0.25
172.17,-2.5,0.5
172.3,-4.25,0.5
172.4,-4.0,-0.25
173.11,-4.0,0.75
173.15,-3.0,0.25
173.16,-3.25,0.25
173.19,-1.75,inf
173.4,-2.5,inf
173.8,-4.75,0.25
188.1,-2.75,2.25
188.2,-3.25,inf
188.3,-1.75,2.25
188.6,-2.75,inf
188.9,-2.75,1.0
189.1,-2.25,1.0
189.11,-2.5,2.75
189.15,-1.25,0.75
189.17,-1.0,2.5
189.18,-3.75,-0.25
189.2,-4.0,-0.75
189.20,-0.75,0.75
189.3,-2.25,inf
189.5,-3.0,1.25
189.X,-2.5,inf
2.1,-3.0,4.25
2.19,-3.75,inf
20003.2,2.0,inf
20005.2,1.75,5.25
20005.3,-0.25,1.75
20033.11,-1.0,2.5
20052.3,-1.5,2.0
20082.22,2.0,5.75
20090.20,2.0,4.0
20092.19,2.25,6.75
20105.22,-0.5,0.5
20108.20,5.75,inf
20109.20,0.0,3.75
20118.2,1.75,2.75
