sequenceID,small_end,big_end
1.1,-1,5
1.11,-1,5
1.15,-1,0
1.6,-0.5,0.5
1.9,-0.5,0.5
106.11,0,5
106.17,-0.5,5
106.5,0,5
106.6,-1,5
106.9,-1.5,0
109.2,-0.5,5
109.8,-1.5,0
11.1,0,1
11.4,-0.5,0
12.1,-0.5,0.5
12.11,-0.5,5
12.17,-0.5,5
12.2,-1,5
12.6,-1.5,5
12.X,-0.5,0
128.12,-0.5,5
128.17,-0.5,5
128.2,-1,5
128.3,-0.5,5
128.6,-1,5
138.1,-0.5,5
139.3,-1,5
139.4,-1.5,5
139.7,-0.5,5
145.1,-1,0.5
145.17,0,0.5
145.19,-2,5
145.2,-1,0.5
145.3,0,0.5
145.4,-1,-0.5
145.6,-1,0
145.7,-1.5,0
149.1,-0.5,5
149.11,-1,0.5
149.2,-2,0
149.6,-1.5,-1
153.11,-0.5,0
153.17,0,5
153.18,-1,5
153.2,0,5
153.4,-1,5
153.7,0,5
162.1,-0.5,5
162.11,-0.5,5
162.17,-1,5
162.19,-1,5
162.22,-0.5,-0.5
162.3,-0.5,0
162.5,-0.5,5
162.7,-1,5
162.8,-0.5,0
17.1,-1.5,5
17.11,-1.5,-0.5
172.1,-0.5,5
172.17,-1,5
172.3,-1.5,5
172.4,-1,5
173.11,-0.5,5
173.15,-1.5,5
173.16,-1,5
173.19,-5,5
173.4,-1.5,0
173.8,-0.5,5
188.1,-0.5,5
188.2,-0.5,0.5
188.3,0,5
188.6,-1.5,0.5
188.9,-1,5
189.1,0,5
189.11,-0.5,5
189.15,-1,5
189.17,-0.5,5
189.18,-1,-0.5
189.2,-1,5
189.20,-1,5
189.3,-1,0.5
189.5,-1,5
189.X,-0.5,0
2.1,-0.5,5
2.19,-1,0
20003.2,0.5,2
20005.2,0.5,0.5
20005.3,1,1.5
20033.11,1,2.5
20052.3,-0.5,5
20082.22,0.5,1
20090.20,1,1.5
20092.19,1.5,5
20105.22,1,5
20108.20,1,1.5
20109.20,1,1.5
20118.2,0.5,2
20119.2,0.5,2.5
20121.14,0,0.5
20121.7,0.5,1.5
20124.1,1,2.5
20124.16,1.5,2
20124.2,1,2.5
20124.3,1,5
20129.20,0.5,1
20133.X,0.5,0.5
20134.X,0.5,0.5
20135.14,0.5,0.5
20136.17,0,5
20138.1,2,5
20139.12,1,5
20139.16,-0.5,5
20139.17,0.5,1.5
20139.3,0,2.5
20139.4,-1,0
20139.5,-1,5
20140.14,-1,5
20140.15,-0.5,5
20141.12,-1,5
20141.14,0,5
20141.5,-2.5,5
20142.18,1.5,5
20142.22,0,0
20143.X,0.5,1
20144.14,0.5,0.5
20144.9,-0.5,5
20145.1,-0.5,5
20145.10,0,0
20145.12,-1,5
20145.14,0.5,0.5
20145.4,0,5
20145.8,-0.5,5
20145.9,0.5,1.5
20145.X,-1,1
20146.17,0.5,2.5
20146.4,-0.5,0
20148.1,-0.5,0
20151.14,0,0
20151.17,0.5,2
20154.4,0,0
20154.9,1.5,1.5
20157.11,1,1
20158.1,1,5
20158.9,-0.5,-0.5
20159.1,0,0.5
20159.14,0.5,0.5
20159.15,1,1.5
20159.3,0.5,0.5
20159.4,0.5,0.5
20159.9,-0.5,0
20160.14,-0.5,5
20160.17,1,2
20160.4,0.5,5
20160.5,0.5,0.5
20161.1,-1,5
20161.12,-0.5,5
20161.22,-0.5,5
20162.12,-0.5,5
20162.17,0.5,2
20162.7,0.5,1.5
20163.1,-2.5,5
20163.7,-0.5,-0.5
20163.9,-0.5,-0.5
20164.1,-0.5,0
20164.14,0.5,0.5
20164.4,-1,5
20165.15,0.5,5
20165.22,0,1.5
20165.4,-1,5
20166.12,-0.5,5
20166.17,0.5,1.5
20166.4,0,0
20167.22,0,0
20167.4,-1,0
20168.11,-1,-0.5
20168.16,-1,5
20168.17,0,2.5
20168.19,1,5
20168.4,0,5
20169.10,-1,5
20169.14,0,0.5
20169.9,0.5,2
20170.17,0,5
20171.12,-1,5
20171.16,-0.5,5
20171.17,0,0
20172.20,0,0
20172.3,1,1
20173.19,0,0
20177.20,0.5,1
20178.20,1,1.5
20183.20,0.5,5
20184.22,0.5,1
20186.22,0.5,1
204.2,-1,5
207.10,-1,0.5
207.12,-1,5
207.15,-1,5
207.17,-1,5
207.18,-1,0.5
207.4,-1.5,5
207.5,-0.5,0.5
217.17,-1,5
219.2,-1,-0.5
219.5,-1,5
220.11,-0.5,5
220.17,-1,5
220.19,-1.5,-0.5
220.2,-0.5,5
220.20,-1.5,5
220.7,-0.5,5
226.1,-0.5,5
227.1,-1,5
227.2,-1.5,5
227.4,-1,5
247.1,-1,0.5
247.11,0,5
247.20,-1.5,0
247.4,-0.5,0.5
247.X,-1,0
257.1,0,5
257.10,-1.5,5
257.17,0,5
26.11,-0.5,5
26.17,0,0.5
26.4,-1,-0.5
26.8,-1.5,5
268.3,-0.5,5
270.11,1,5
273.17,-1,5
273.6,-0.5,0.5
275.1,-0.5,5
275.2,-0.5,0
294.1,0,5
30001.3,0.5,1
30001.8,0.5,1.5
30011.11,1.5,2
30011.13,1.5,5
30011.15,-0.5,0.5
30011.2,1.5,2.5
30011.22,0.5,1
30011.7,0.5,5
30011.8,0.5,1
30016.6,1,1.5
30020.4,1.5,2
30022.12,-1,2
30022.17,0.5,2
30022.9,0,1
30023.17,1,1
30023.9,0.5,5
30024.17,0,2
30024.4,1,1
30024.6,1.5,1.5
311.1,-0.5,1
311.11,-0.5,5
311.15,0,5
311.16,-0.5,5
311.20,-1,5
311.7,-0.5,5
314.1,0.5,5
314.5,-0.5,5
314.8,-1,5
316.1,-1,5
316.10,-2,5
316.12,-1.5,0.5
316.15,-1.5,5
316.20,-2,5
316.7,-1.5,5
329.11,-1,0
329.17,0,5
329.18,-1,0
329.4,-0.5,0
329.6,-1,5
329.8,-1,5
33.1,0,5
33.3,-1,1
33.6,-1.5,0
33.7,-1.5,5
330.1,-0.5,5
330.16,-1,5
330.17,-1,5
331.1,0,1
331.11,-0.5,1
331.12,-0.5,5
331.16,-0.5,0.5
331.17,-0.5,-0.5
