sequenceID,sum_diff,mean_diff,max_diff,min_diff,std_deviation,mean,median,variance,min_value,max_value,range_value,iqr,abs_skewness,kurtosis,count,unique_count,percentile_25,percentile_50,percentile_75,autocorr
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00RMQ_WTSI/problems/chr5:49600000-91636128,450532,1.1232494882783963,13,1,10.857017335766937,5.2923799171274855,1.0,117.87482542914378,0,128,128,4.0,4.008325197940826,21.28914491055047,401098,128,0.0,1.0,4.0,0.9940323391292772
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S2P_WTSI/problems/chr5:49600000-91636128,927720,1.2939615962374522,48,1,15.24111974705306,6.932870919239792,2.0,232.29173114401075,0,194,194,4.0,4.361558526301742,25.23448742121065,716962,195,1.0,2.0,5.0,0.9955536273686268
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S4L_WTSI/problems/chr5:49600000-91636128,615130,1.176744034786002,18,1,17.08398347625857,8.122584841412557,1.0,291.8624914170759,0,216,216,6.0,3.941738560210596,20.372187188297545,522740,214,1.0,1.0,7.0,0.9972251544784146
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S6H_WTSI/problems/chr5:49600000-91636128,664100,1.1327429401851687,7,1,3.8079984750060847,1.7283587792118742,1.0,14.500852385648669,0,122,122,2.0,8.791104703196911,137.17299358393646,586277,117,0.0,1.0,2.0,0.9506994828062868
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S7F_WTSI/problems/chr5:49600000-91636128,514436,1.1646860390088185,10,1,11.051184793712771,5.207823933202927,1.0,122.1286853447884,0,129,129,4.0,4.090514400197869,21.40507536646508,441696,130,0.0,1.0,4.0,0.993652718605776
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SE1_WTSI/problems/chr5:49600000-91636128,939325,1.260571583476256,13,1,8.78539074601024,3.57949645646097,1.0,77.18309056008236,0,169,169,3.0,5.849207304231948,46.09272015192575,745159,161,0.0,1.0,3.0,0.9877387143827808
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SHW_WTSI/problems/chr5:49600000-91636128,913096,1.680205651742685,11,1,8.537849390685764,3.7374706501497856,1.0,72.89487221803329,0,171,171,3.0,5.583367565257024,42.774607534255054,543444,158,0.0,1.0,3.0,0.9745430351951074
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SJS_WTSI/problems/chr5:49600000-91636128,1180009,1.1791505783789402,13,1,10.994937633878138,4.172661130036204,1.0,120.8886535728698,0,211,211,2.0,6.262871491985115,53.35640607778099,1000729,206,1.0,1.0,3.0,0.9933293183841092
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SMM_WTSI/problems/chr5:49600000-91636128,627733,1.092237638371247,11,1,7.244435901643646,3.2707321614064515,1.0,52.48185153302339,0,102,102,2.0,4.773223020130753,30.31482910713141,574723,103,0.0,1.0,2.0,0.9876301943768804
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SPG_WTSI/problems/chr5:49600000-91636128,685921,1.1026197468826506,10,1,4.0273220639436005,1.9208450948746472,1.0,16.219323006726945,0,88,88,2.0,5.926720970638762,49.36510516295029,622084,88,0.0,1.0,2.0,0.9590414718343352
