sequenceID,log_lambda,fold_1_total_labels,fold_2_total_labels,fold_1_fp_errs,fold_1_fn_errs,fold_1_tp,fold_1_tn,fold_2_fp_errs,fold_2_fn_errs,fold_2_tp,fold_2_tn
1.1,0.7896658228419821,2,1,0,1,0,1,0,0,1,0
1.11,0.7027255769536591,1,1,0,0,0,1,0,0,1,0
1.15,0.6404265605912418,1,1,0,1,0,0,0,0,0,1
1.6,0.7070376432048895,1,1,0,1,0,0,0,0,0,1
1.9,0.6785807076129214,1,1,0,1,0,0,0,0,0,1
106.11,0.7237269043604236,2,1,0,0,0,2,0,0,1,0
106.17,0.719036294471144,2,1,0,0,0,2,0,0,1,0
106.5,0.743915448037082,2,1,0,0,0,2,0,1,0,0
106.6,0.7329701661749132,2,1,0,0,0,2,0,1,0,0
106.9,0.7106079707861501,1,1,0,1,0,0,0,0,0,1
109.2,0.780019467948788,1,1,0,0,0,1,0,1,0,0
109.8,0.756919927365226,1,1,0,1,0,0,0,0,0,1
11.1,0.7927108320683268,1,1,0,0,1,0,0,0,0,1
11.4,0.7144792679942598,1,1,0,1,0,0,0,0,0,1
12.1,0.7981163727255747,2,1,0,1,0,1,0,1,0,0
12.11,0.7237269043604236,2,1,0,0,0,2,0,0,1,0
12.17,0.719036294471144,2,1,0,0,0,2,0,0,1,0
12.2,0.7640372622810784,2,1,0,0,0,2,0,0,1,0
12.6,0.7329701661749132,2,1,0,0,0,2,0,1,0,0
12.X,0.7185937376552045,3,2,0,1,0,2,0,1,0,1
128.12,0.7199130566478311,2,1,0,0,0,2,0,1,0,0
128.17,0.6957306791310346,2,1,0,0,0,2,0,0,1,0
128.2,0.7398144569049394,2,1,0,0,0,2,0,1,0,0
128.3,0.7111036552833528,2,1,0,0,0,2,0,1,0,0
128.6,0.6993126409181233,2,1,0,0,0,2,0,1,0,0
138.1,0.81137204393206,2,1,0,0,0,2,0,1,0,0
139.3,0.7433007409473433,2,1,0,0,0,2,0,1,0,0
139.4,0.7364792457063775,1,1,0,0,0,1,0,1,0,0
139.7,0.716794887984535,2,1,0,0,0,2,0,0,1,0
145.1,0.7791428535801814,1,1,0,1,0,0,0,0,0,1
145.17,0.7027255769536591,1,1,0,0,1,0,0,0,0,1
145.19,0.5639035037360005,1,1,0,0,0,1,0,1,0,0
145.2,0.7311449830794529,1,1,0,1,0,0,0,0,0,1
145.3,0.7059837563143124,1,1,0,1,0,0,0,0,0,1
145.4,0.690663340241372,2,1,0,1,0,1,0,1,0,0
145.6,0.685220907602229,2,1,0,2,0,0,0,0,0,1
145.7,0.6583812858265025,1,1,0,1,0,0,0,0,0,1
149.1,0.794521607164459,1,1,0,0,0,1,0,1,0,0
149.11,0.7115958892986699,1,1,0,0,1,0,0,0,0,1
149.2,0.7546219595663436,2,1,0,2,0,0,0,0,0,1
149.6,0.7163378459523246,2,1,0,1,0,1,0,1,0,0
153.11,0.6969444064079379,1,1,0,1,0,0,0,0,0,1
153.17,0.7021678641777299,2,1,0,0,0,2,0,1,0,0
153.18,0.6365614433910027,2,1,0,0,0,2,0,1,0,0
153.2,0.7411033852814108,2,1,0,0,0,2,0,1,0,0
153.4,0.7021678641777299,2,1,0,0,0,2,0,1,0,0
153.7,0.6770217383066154,2,1,0,0,0,2,0,1,0,0
162.1,0.786145495175689,1,1,0,0,0,1,0,1,0,0
162.11,0.6913162559962268,2,1,0,0,0,2,0,1,0,0
162.17,0.6981381933003685,2,1,0,0,0,2,0,0,1,0
162.19,0.5726009103928208,1,1,0,0,0,1,0,1,0,0
162.22,0.6325038008261472,1,1,0,1,0,0,0,0,0,1
162.3,0.7115958892986699,3,2,0,1,0,2,0,0,1,1
162.5,0.7194760565543221,2,1,0,0,0,2,0,1,0,0
162.7,0.6762300046477937,2,1,0,0,0,2,0,1,0,0
162.8,0.6808602071878732,1,1,0,1,0,0,0,0,0,1
17.1,0.7884643285499083,2,1,0,0,0,2,0,1,0,0
17.11,0.6998927931783815,2,2,0,1,0,1,0,1,0,1
172.1,0.7981163727255747,1,1,0,0,0,1,0,1,0,0
172.17,0.719036294471144,2,1,0,0,0,2,0,1,0,0
172.3,0.7442206795850465,2,1,0,0,0,2,0,1,0,0
172.4,0.7381675706518706,2,1,0,0,0,2,0,1,0,0
173.11,0.690663340241372,2,1,0,0,0,2,0,1,0,0
173.15,0.6237342525520754,1,1,0,0,0,1,0,1,0,0
173.16,0.6296827187942647,2,1,0,0,0,2,0,1,0,0
173.19,0.5639035037360005,1,1,0,1,0,0,0,0,0,1
173.4,0.6900045759836461,1,1,0,1,0,0,0,0,0,1
173.8,0.6651091841939002,2,1,0,0,0,2,0,1,0,0
