sequenceID,fold_1_total_labels,fold_2_total_labels,fold_1_errs,fold_2_errs
0,2,1,1,0
1,1,1,0,0
2,1,1,1,0
3,1,1,1,0
4,1,1,1,0
5,2,1,0,0
6,2,1,0,0
7,2,1,0,1
8,2,1,0,1
9,1,1,1,0
10,1,1,0,1
11,1,1,1,0
12,1,1,0,0
13,1,1,1,0
14,2,1,1,1
15,2,1,0,0
16,2,1,0,0
17,2,1,0,0
18,2,1,0,1
19,3,2,1,1
20,2,1,0,1
21,2,1,0,0
22,2,1,0,1
23,2,1,0,1
24,2,1,0,1
25,2,1,0,1
26,2,1,0,1
27,1,1,0,1
28,2,1,0,0
29,1,1,1,0
30,1,1,0,0
31,1,1,0,1
32,1,1,1,0
33,1,1,1,0
34,2,1,1,1
35,2,1,2,0
36,1,1,1,0
37,1,1,0,1
38,1,1,0,0
39,2,1,2,0
40,2,1,1,1
41,1,1,1,0
42,2,1,0,1
43,2,1,0,1
44,2,1,0,1
45,2,1,0,1
46,2,1,0,1
47,1,1,0,1
48,2,1,0,1
49,2,1,0,0
50,1,1,0,1
51,1,1,1,0
52,3,2,1,0
53,2,1,0,1
54,2,1,0,1
55,1,1,1,0
56,2,1,0,1
57,2,2,1,1
58,1,1,0,1
59,2,1,0,1
60,2,1,0,1
61,2,1,0,1
62,2,1,0,1
63,1,1,0,1
64,2,1,0,1
65,1,1,1,0
66,1,1,1,0
67,2,1,0,1
68,2,1,0,0
69,1,1,0,0
70,2,1,0,0
71,1,1,1,0
72,1,1,0,1
73,1,1,0,1
74,2,1,0,0
75,2,1,0,1
76,2,1,0,0
77,2,1,1,1
78,1,1,0,1
79,1,1,0,1
80,1,1,1,0
81,2,1,0,1
82,1,1,1,0
83,2,1,0,0
84,1,1,1,0
85,2,2,0,0
86,4,4,2,0
87,3,3,0,2
88,2,2,1,0
89,2,1,2,1
90,2,2,0,0
91,2,1,0,0
92,1,1,1,0
93,2,1,1,1
94,2,2,0,1
95,2,1,0,0
96,5,4,1,0
97,2,2,0,0
98,2,2,2,1
99,2,2,0,2
100,1,1,0,1
101,1,1,1,1
102,1,1,0,0
103,2,1,0,0
104,2,1,0,0
105,3,3,1,1
106,3,3,0,1
107,3,2,1,1
108,2,1,1,1
109,2,2,2,2
110,2,1,1,1
111,3,2,2,2
112,2,2,0,0
113,1,1,0,0
114,2,1,2,0
115,2,1,2,1
116,2,1,1,1
117,2,1,1,1
118,2,1,1,1
119,2,1,1,1
120,2,1,1,1
121,1,1,1,0
122,4,3,4,2
123,3,2,0,1
124,3,2,2,2
125,2,1,1,1
126,2,1,1,1
127,2,1,1,1
128,2,1,1,1
129,2,1,1,1
130,2,2,1,1
131,2,1,1,1
132,3,2,0,0
133,3,3,1,1
134,1,1,0,0
135,2,1,1,1
136,3,3,2,2
137,3,2,3,1
138,1,1,0,0
139,3,2,2,0
140,2,1,1,0
141,3,2,0,0
142,2,2,0,2
143,3,3,2,2
144,6,5,3,3
145,2,1,1,1
146,2,1,0,0
147,3,2,1,1
148,5,4,1,3
149,2,2,2,1
150,2,1,1,1
151,2,1,0,0
152,2,1,2,1
153,2,2,2,1
154,2,1,1,0
155,2,1,1,1
156,2,1,1,1
157,2,1,1,1
158,1,1,0,1
159,3,2,1,1
160,2,1,1,1
161,3,2,2,2
162,5,4,4,4
163,4,3,4,3
164,2,1,1,1
165,2,2,1,1
166,2,1,0,0
167,3,2,1,1
168,2,1,1,1
169,2,1,1,1
170,2,1,0,0
171,3,2,3,1
172,4,3,4,2
173,3,2,3,1
