sequenceID,small_end,big_end
1.1,0.25,0.5
1.11,-2.25,7.0
1.15,-3.25,0.0
1.6,-2.25,1.5
1.9,-2.0,1.25
106.11,-1.0,7.0
106.17,-1.0,7.0
106.5,-0.25,7.0
106.6,-2.75,7.0
106.9,-3.5,0.0
109.2,-1.5,7.0
109.8,-3.75,0.5
11.1,-0.75,2.25
11.4,-1.5,0.5
12.1,-1.75,1.0
12.11,-1.0,7.0
12.17,-1.75,7.0
12.2,-2.75,7.0
12.6,-3.75,7.0
12.X,-1.25,0.75
128.12,-1.75,7.0
128.17,-2.25,7.0
128.2,-3.25,7.0
128.3,-1.0,7.0
128.6,-3.25,7.0
138.1,-1.0,7.0
139.3,-3.0,7.0
139.4,-4.25,7.0
139.7,-1.75,7.0
145.1,-2.25,1.5
145.17,-0.75,1.75
145.19,-5.0,7.0
145.2,-3.0,1.0
145.3,-1.0,1.5
145.4,-3.25,-0.25
145.6,-3.0,0.0
145.7,-4.25,0.5
149.1,-1.75,7.0
149.11,-2.5,1.5
149.2,-1.75,-1.75
149.6,-3.75,-1.5
153.11,-2.0,0.0
153.17,-1.0,7.0
153.18,-2.5,7.0
153.2,-0.75,7.0
153.4,-3.25,7.0
153.7,-1.0,7.0
162.1,-1.5,7.0
162.11,-1.25,7.0
162.17,-2.5,7.0
162.19,-2.25,7.0
162.22,-1.75,-0.75
162.3,-2.0,0.0
162.5,-1.75,7.0
162.7,-2.75,7.0
162.8,-2.0,0.25
17.1,-3.5,7.0
17.11,-4.0,-0.75
172.1,-1.25,7.0
172.17,-2.5,7.0
172.3,-3.75,7.0
172.4,-2.75,7.0
173.11,-2.0,7.0
173.15,-3.75,7.0
173.16,-2.75,7.0
173.19,-2.25,-1.25
173.4,-3.75,0.25
173.8,-1.25,7.0
188.1,-2.0,7.0
188.2,-1.5,2.0
188.3,-0.75,7.0
188.6,-3.5,1.25
188.9,-3.0,7.0
189.1,0.0,7.0
189.11,-1.75,7.0
189.15,-2.5,7.0
189.17,-1.0,7.0
189.18,-3.0,-1.0
189.2,-3.25,7.0
189.20,-2.75,7.0
189.3,-3.0,1.25
189.5,-3.5,7.0
189.X,-1.75,0.75
2.1,-2.25,7.0
2.19,-2.75,1.0
20003.2,0.75,5.5
20005.2,0.75,2.0
20005.3,2.0,3.5
20033.11,2.5,5.75
20052.3,-1.75,7.0
20082.22,1.0,3.25
20090.20,1.5,4.0
