seqID,small_end,big_end
0,-5.0,0.5
1,-1.0,0.5
2,-1.5,0.0
3,-1.0,0.5
4,0.0,0.5
5,0.0,1.0
6,-0.5,1.0
7,-0.5,5.0
8,-1.0,0.0
9,-1.0,0.0
10,-0.5,0.0
11,-1.5,0.0
12,0.0,1.0
13,-0.5,0.0
14,-0.5,0.0
15,-0.5,1.0
16,-0.5,1.0
17,-1.0,0.5
18,-1.5,0.5
19,-0.5,0.0
20,-0.5,0.0
21,-0.5,1.0
22,-1.0,0.0
23,-0.5,0.5
24,-1.0,0.0
25,-0.5,0.5
26,-1.0,0.0
27,-1.5,-0.5
28,-0.5,0.5
29,-1.0,0.5
30,-0.5,0.5
31,-2.0,-0.5
32,-1.5,0.5
33,-1.5,0.5
34,-1.0,-0.5
35,-1.5,0.0
36,-1.5,0.0
37,-0.5,-0.5
38,-0.5,0.5
39,-1.0,-1.0
40,-1.5,-1.0
41,0.0,0.0
42,0.0,0.0
43,-1.0,-0.5
44,0.0,0.5
45,-1.0,0.0
46,-1.0,5.0
47,-0.5,0.0
48,-0.5,0.5
49,-1.0,0.5
50,-1.0,0.0
51,-2.0,-0.5
52,-0.5,0.0
53,-0.5,0.5
54,-1.0,0.0
55,-2.0,0.0
56,-1.5,0.0
57,-0.5,-0.5
58,-0.5,0.0
59,-1.0,0.0
60,-1.5,0.0
61,-1.0,-0.5
62,-0.5,0.0
63,-1.5,0.0
64,-1.0,0.0
65,-5.0,5.0
66,-1.0,0.0
67,-0.5,0.0
68,-0.5,1.0
69,-1.5,0.5
70,0.0,1.0
71,-1.0,0.5
72,-1.0,0.5
73,0.0,0.5
74,-0.5,1.0
75,-1.0,0.0
76,-0.5,1.0
77,-1.0,-0.5
78,-1.0,-0.5
79,-1.0,0.0
80,-1.0,0.5
81,-1.0,0.5
82,-1.0,0.0
83,-0.5,1.5
84,-1.5,0.0
85,1.0,2.0
86,0.5,0.5
87,-5.0,0.5
88,1.0,1.0
89,-5.0,0.5
90,1.0,1.0
91,1.0,1.5
92,1.5,2.5
93,-5.0,-0.5
94,1.0,1.5
95,0.5,1.5
96,1.0,1.0
97,0.0,1.5
98,-5.0,0.5
99,0.0,0.0
100,1.5,2.5
101,1.5,2.0
102,1.0,2.5
103,1.0,3.0
104,0.5,1.0
105,-5.0,0.5
106,-5.0,0.5
107,0.5,0.5
108,-5.0,0.0
109,-5.0,5.0
110,-5.0,-0.5
