method,fold,acc
linear_unreg.1,1,87.0
linear_unreg.2,1,86.0
linear_unreg.4,1,86.0
linear_unreg.1,2,86.0
linear_unreg.2,2,92.0
linear_unreg.4,2,72.0
linear_L1reg.100,1,93.0
linear_L1reg.100,2,75.0
mmit.1,1,88.0
mmit.2,1,71.0
mmit.4,1,79.0
mmit.1,2,94.0
mmit.2,2,75.0
mmit.4,2,81.0
mmit.100,1,90.0
mmit.100,2,68.0
mlp_hingesquare.4,1,88.0
mlp_hingesquare.4,2,95.0
mlp_hingesquare_new_features.1,1,95.0
mlp_hingesquare_new_features.2,1,91.0
mlp_hingesquare_new_features.4,1,66.0
mlp_hingesquare_new_features.1,2,86.0
mlp_hingesquare_new_features.2,2,78.0
mlp_hingesquare_new_features.4,2,64.0
mlp_hingesquare.2,1,63.0
mlp_hingesquare.2,2,86.0
mlp_hingesquare.1,1,72.0
mlp_hingesquare.1,2,87.0
mlp_hingesquare.100,1,60.0
mlp_hingesquare.100,2,39.0
rf_linear.1,1,94.0
rf_linear.10,1,91.0
rf_linear.2,1,93.0
rf_linear.4,1,92.0
rf_linear.1,2,80.0
rf_linear.10,2,65.0
rf_linear.2,2,80.0
rf_linear.4,2,67.0
rf_power_linear.1,1,88.0
rf_power_linear.2,1,88.0
rf_power_linear.4,1,88.0
rf_power_linear.1,2,90.0
rf_power_linear.2,2,88.0
rf_power_linear.4,2,86.0
rf_power_lq.1,1,95.0
rf_power_lq.2,1,88.0
rf_power_lq.4,1,88.0
rf_power_lq.6,1,88.0
rf_power_lq.1,2,98.0
rf_power_lq.2,2,96.0
rf_power_lq.4,2,88.0
rf_power_lq.6,2,67.0
