sequenceID,log_lambda,fold_1_total_labels,fold_2_total_labels,fold_1_fp_errs,fold_1_fn_errs,fold_1_tp,fold_1_tn,fold_2_fp_errs,fold_2_fn_errs,fold_2_tp,fold_2_tn
1.1,0.4274501341425188,2,1,0,1,0,1,0,0,1,0
1.11,0.34050988825419587,1,1,0,0,0,1,0,0,1,0
1.15,0.27821087189177857,1,1,0,1,0,0,0,0,0,1
1.6,0.3448219545054263,1,1,0,0,1,0,0,0,0,1
1.9,0.3163650189134582,1,1,0,0,1,0,0,0,0,1
106.11,0.3615112156609605,2,1,0,0,0,2,0,0,1,0
106.17,0.35682060577168084,2,1,0,0,0,2,0,0,1,0
106.5,0.3816997593376188,2,1,0,0,0,2,0,1,0,0
106.6,0.37075447747545,2,1,0,0,0,2,0,1,0,0
106.9,0.34839228208668693,1,1,0,1,0,0,0,0,0,1
109.2,0.41780377924932477,1,1,0,0,0,1,0,1,0,0
109.8,0.3947042386657627,1,1,0,1,0,0,0,0,0,1
11.1,0.43049514336886363,1,1,0,0,1,0,0,0,0,1
11.4,0.3522635792947966,1,1,0,1,0,0,0,0,0,1
12.1,0.43590068402611143,2,1,0,0,1,1,0,1,0,0
12.11,0.3615112156609605,2,1,0,0,0,2,0,0,1,0
12.17,0.35682060577168084,2,1,0,0,0,2,0,0,1,0
12.2,0.4018215735816151,2,1,0,0,0,2,0,0,1,0
12.6,0.37075447747545,2,1,0,0,0,2,0,0,1,0
12.X,0.3563780489557413,3,2,0,0,1,2,0,0,1,1
128.12,0.3576973679483679,2,1,0,0,0,2,0,0,1,0
128.17,0.3335149904315714,2,1,0,0,0,2,0,0,1,0
128.2,0.3775987682054762,2,1,0,0,0,2,0,0,1,0
128.3,0.34888796658388954,2,1,0,0,0,2,0,0,1,0
128.6,0.3370969522186601,2,1,0,0,0,2,0,1,0,0
138.1,0.4491563552325968,2,1,0,0,0,2,0,0,1,0
139.3,0.3810850522478801,2,1,0,0,0,2,0,1,0,0
139.4,0.37426355700691427,1,1,0,0,0,1,0,1,0,0
139.7,0.3545791992850716,2,1,0,0,0,2,0,0,1,0
145.1,0.41692716488071824,1,1,0,0,1,0,0,0,0,1
145.17,0.34050988825419587,1,1,0,0,1,0,0,0,0,1
145.19,0.20168781503653724,1,1,0,0,0,1,0,1,0,0
145.2,0.3689292943799896,1,1,0,0,1,0,0,0,0,1
145.3,0.3437680676148492,1,1,0,0,1,0,0,0,0,1
145.4,0.3284476515419088,2,1,0,1,0,1,0,1,0,0
145.6,0.32300521890276573,2,1,0,1,1,0,0,0,0,1
145.7,0.29616559712703927,1,1,0,0,1,0,0,0,0,1
149.1,0.4323059184649957,1,1,0,0,0,1,0,1,0,0
149.11,0.34938020059920666,1,1,0,0,1,0,0,0,0,1
149.2,0.3924062708668804,2,1,0,2,0,0,0,0,0,1
149.6,0.35412215725286145,2,1,0,1,0,1,0,0,1,0
153.11,0.3347287177084747,1,1,0,1,0,0,0,0,0,1
153.17,0.33995217547826667,2,1,0,0,0,2,0,1,0,0
153.18,0.2743457546915395,2,1,0,0,0,2,0,1,0,0
153.2,0.3788876965819476,2,1,0,0,0,2,0,0,1,0
153.4,0.33995217547826667,2,1,0,0,0,2,0,1,0,0
153.7,0.3148060496071522,2,1,0,0,0,2,0,1,0,0
162.1,0.4239298064762257,1,1,0,0,0,1,0,1,0,0
162.11,0.32910056729676357,2,1,0,0,0,2,0,0,1,0
162.17,0.33592250460090534,2,1,0,0,0,2,0,0,1,0
162.19,0.21038522169335758,1,1,0,0,0,1,0,1,0,0
162.22,0.27028811212668397,1,1,0,1,0,0,0,0,0,1
