sequenceID,small_end,big_end
1.1,0.25,0.5
1.11,-1.25,2.0
1.15,-3.25,0.0
1.6,-2.25,1.5
1.9,-1.0,1.25
106.11,-0.5,2.75
106.17,-1.0,2.75
106.5,-1.25,7.0
106.6,-2.75,0.25
106.9,-3.25,0.0
109.2,-1.5,0.75
109.8,-3.5,0.5
11.1,-0.75,2.25
11.4,-1.5,0.5
12.1,-1.75,0.5
12.11,-1.0,2.75
12.17,-1.0,2.5
12.2,-2.75,1.75
12.6,-3.25,1.0
12.X,-1.25,0.75
128.12,-1.75,0.75
128.17,-0.5,2.5
128.2,-3.25,1.0
128.3,-1.0,1.25
128.6,-3.25,0.75
138.1,-1.0,1.5
139.3,-3.0,0.5
139.4,-4.25,-0.75
139.7,-1.75,2.0
145.1,-2.25,1.5
145.17,-0.75,1.75
145.19,-3.25,-0.75
145.2,-3.0,1.0
145.3,-1.0,1.5
145.4,-3.25,-0.25
145.6,-3.0,0.0
145.7,-4.0,0.5
149.1,-1.75,-1.0
149.11,-2.0,1.5
149.2,-1.75,-1.75
149.6,-3.5,-1.5
153.11,-1.0,0.0
153.17,-1.0,0.25
153.18,-2.5,-0.25
153.2,-0.75,1.25
153.4,-3.25,0.5
153.7,-1.0,-0.25
162.1,-1.5,0.25
162.11,-1.25,1.25
162.17,-1.5,1.5
162.19,-2.25,0.0
162.22,-1.75,-0.75
162.3,-2.0,0.0
162.5,-1.75,1.25
162.7,-2.75,0.25
162.8,-2.0,0.25
17.1,-2.75,0.75
17.11,-2.0,-0.75
172.1,-1.25,0.25
172.17,-2.5,0.5
172.3,-3.75,0.5
172.4,-2.75,-0.25
173.11,-2.0,0.75
173.15,-3.0,0.25
173.16,-2.75,0.25
173.19,-1.75,-1.25
173.4,-2.5,0.25
173.8,-1.25,0.25
188.1,-2.0,2.25
188.2,-1.5,2.0
188.3,-0.75,2.25
188.6,-2.75,1.25
188.9,-2.75,1.0
189.1,0.0,1.0
189.11,-1.75,2.75
189.15,-1.25,0.75
189.17,-1.0,2.5
189.18,-3.0,-1.0
189.2,-3.25,-0.75
189.20,-0.75,0.75
189.3,-2.25,1.25
189.5,-2.75,1.25
189.X,-1.75,0.75
2.1,-2.25,4.25
2.19,-2.75,1.0
20003.2,2.0,5.5
20005.2,1.75,2.0
20005.3,-0.25,2.0
20033.11,2.5,2.5
20052.3,-1.5,2.0
20082.22,2.0,3.25
20090.20,2.0,4.0
20092.19,2.75,6.75
20105.22,-0.5,-0.5
20108.20,1.75,3.75
20109.20,1.75,3.75
20118.2,1.75,2.0
20119.2,0.75,3.75
20121.14,-0.5,1.75
20121.7,0.25,1.0
20124.1,2.5,6.75
20124.16,2.75,5.5
20124.2,2.0,6.5
20124.3,2.25,6.75
20129.20,1.0,2.5
20133.X,-1.25,1.25
20134.X,-1.25,2.0
20135.14,0.75,1.5
20136.17,-1.0,0.5
20138.1,-3.25,7.0
20139.12,-0.5,-0.5
20139.16,0.5,0.5
20139.17,1.75,3.75
20139.3,2.0,6.0
20139.4,-2.25,0.5
20139.5,-1.5,0.0
20140.14,1.25,1.25
20140.15,-1.25,-0.25
20141.12,-1.75,-0.25
20141.14,-0.5,1.25
20141.5,-1.5,0.5
20142.18,0.5,7.0
20142.22,-1.0,0.0
20143.X,0.5,2.75
20144.14,-0.75,-0.5
20144.9,-1.75,0.5
20145.1,-1.0,-0.25
20145.10,-1.0,0.0
20145.12,-2.0,-0.25
20145.14,0.25,1.25
20145.4,0.75,0.75
20145.8,-2.0,-0.25
20145.9,1.0,3.5
20145.X,0.75,1.0
20146.17,0.25,6.0
20146.4,-1.25,0.75
20148.1,0.25,0.25
20151.14,-0.75,0.25
20151.17,2.0,5.25
20154.4,-0.25,5.0
20154.9,2.5,4.25
20157.11,2.0,3.25
20158.1,-1.5,0.25
20158.9,-1.75,0.0
20159.1,0.0,1.5
20159.14,0.25,1.25
20159.15,1.5,3.75
20159.3,0.75,1.75
20159.4,0.75,0.75
20159.9,0.25,0.25
20160.14,-1.25,1.25
20160.17,2.0,5.25
20160.4,1.0,1.25
20160.5,0.5,1.75
20161.1,0.0,3.75
20161.12,-1.5,-0.25
20161.22,-0.25,-0.25
20162.12,-1.25,-0.25
20162.17,2.25,5.5
20162.7,2.0,2.0
20163.1,-1.25,0.25
20163.7,-1.25,-0.25
20163.9,-1.5,-0.25
20164.1,-1.0,-0.25
20164.14,1.0,1.5
20164.4,0.25,7.0
20165.15,1.0,4.75
20165.22,-0.75,3.5
20165.4,-3.0,-0.5
20166.12,-1.25,-0.25
20166.17,1.0,4.0
20166.4,-0.75,0.5
20167.22,-0.75,0.5
20167.4,-2.25,-1.5
20168.11,-2.25,-0.75
20168.16,-2.25,-0.5
20168.17,-0.5,6.0
20168.19,-0.25,-0.25
20168.4,-0.5,7.0
20169.10,-1.25,-0.5
20169.14,-0.75,1.5
20169.9,2.25,4.5
20170.17,-0.25,-0.25
20171.12,-2.25,0.0
20171.16,-1.0,0.0
20171.17,-0.5,0.0
20172.20,-0.25,0.75
20172.3,0.25,2.0
20173.19,-0.75,0.0
20177.20,1.0,3.25
20178.20,2.0,3.5
20183.20,0.5,2.75
20184.22,1.0,2.5
20186.22,0.75,2.75
204.2,-3.0,0.0
207.10,-2.25,1.25
207.12,-3.0,2.0
207.15,-2.5,1.0
207.17,-2.5,2.0
207.18,-2.75,1.25
207.4,-3.5,1.75
207.5,-1.75,1.25
217.17,-3.0,-1.25
219.2,-2.25,-0.75
219.5,-3.0,-1.75
220.11,-1.75,1.75
220.17,-1.0,2.0
220.19,-2.5,-0.75
220.2,-2.0,0.5
220.20,-3.25,0.25
220.7,-2.25,-0.25
226.1,-1.75,2.0
227.1,-2.25,1.25
227.2,-3.5,-0.75
227.4,-3.25,0.25
247.1,-2.5,0.0
247.11,-0.75,3.0
247.20,-3.25,0.75
247.4,-2.0,1.5
247.X,-1.5,0.0
257.1,0.0,3.0
257.10,-3.0,1.5
257.17,-1.0,1.5
26.11,-1.75,0.75
26.17,-0.5,1.25
26.4,-2.25,-1.0
26.8,-3.5,0.0
268.3,-1.75,2.0
270.11,1.25,2.75
273.17,-2.0,2.0
273.6,-1.5,1.5
275.1,-1.75,4.0
275.2,-1.5,0.5
294.1,-0.75,1.75
30001.3,1.25,1.5
30001.8,1.0,3.75
30011.11,3.75,4.75
30011.13,-2.0,7.0
30011.15,-1.25,7.0
30011.2,2.75,5.75
30011.22,2.0,2.5
30011.7,2.75,3.0
30011.8,0.25,7.0
30016.6,1.5,3.75
30020.4,3.75,4.5
30022.12,1.5,5.0
30022.17,2.25,4.75
30022.9,1.75,2.5
30023.17,1.5,2.75
