sequenceID,small_end,big_end
1.1,0.25,0.5
1.11,-2.25,inf
1.15,-3.25,0.0
1.6,-2.25,1.5
1.9,-2.0,1.25
106.11,-1.0,inf
106.17,-1.0,inf
106.5,-0.25,inf
106.6,-2.75,inf
106.9,-3.5,0.0
109.2,-1.5,inf
109.8,-3.75,0.5
11.1,-0.75,2.25
11.4,-1.5,0.5
12.1,-1.75,1.0
12.11,-1.0,inf
12.17,-1.75,inf
12.2,-2.75,inf
12.6,-3.75,inf
12.X,-1.25,0.75
128.12,-1.75,inf
128.17,-2.25,inf
128.2,-3.25,inf
128.3,-1.0,inf
128.6,-3.25,inf
138.1,-1.0,inf
139.3,-3.0,inf
139.4,-4.25,inf
139.7,-1.75,inf
145.1,-2.25,1.5
145.17,-0.75,1.75
145.19,-5.0,inf
145.2,-3.0,1.0
145.3,-1.0,1.5
145.4,-3.25,-0.25
145.6,-3.0,0.0
145.7,-4.25,0.5
149.1,-1.75,inf
149.11,-2.5,1.5
149.2,-1.75,-1.75
149.6,-3.75,-1.5
153.11,-2.0,0.0
153.17,-1.0,inf
153.18,-2.5,inf
153.2,-0.75,inf
153.4,-3.25,inf
153.7,-1.0,inf
162.1,-1.5,inf
162.11,-1.25,inf
162.17,-2.5,inf
162.19,-2.25,inf
162.22,-1.75,-0.75
162.3,-2.0,0.0
162.5,-1.75,inf
162.7,-2.75,inf
162.8,-2.0,0.25
17.1,-3.5,inf
17.11,-4.0,-0.75
172.1,-1.25,inf
172.17,-2.5,inf
172.3,-3.75,inf
172.4,-2.75,inf
173.11,-2.0,inf
173.15,-3.75,inf
173.16,-2.75,inf
173.19,-2.25,-1.25
173.4,-3.75,0.25
173.8,-1.25,inf
188.1,-2.0,inf
188.2,-1.5,2.0
188.3,-0.75,inf
188.6,-3.5,1.25
188.9,-3.0,inf
189.1,0.0,inf
189.11,-1.75,inf
189.15,-2.5,inf
189.17,-1.0,inf
189.18,-3.0,-1.0
189.2,-3.25,inf
189.20,-2.75,inf
189.3,-3.0,1.25
189.5,-3.5,inf
189.X,-1.75,0.75
2.1,-2.25,inf
2.19,-2.75,1.0
20003.2,0.75,5.5
20005.2,0.75,2.0
20005.3,2.0,3.5
20033.11,2.5,5.75
20052.3,-1.75,inf
20082.22,1.0,3.25
20090.20,1.5,4.0
20092.19,2.75,inf
20105.22,-0.5,inf
20108.20,1.75,3.75
20109.20,1.75,3.75
20118.2,1.75,2.0
20119.2,0.75,6.25
20121.14,-0.5,1.75
20121.7,0.25,4.5
20124.1,2.0,6.75
20124.16,2.75,5.5
20124.2,2.0,6.5
20124.3,2.25,inf
20129.20,1.0,2.5
20133.X,1.25,1.25
20134.X,1.25,2.0
20135.14,0.75,1.5
20136.17,-1.0,inf
20138.1,4.0,inf
20139.12,-0.5,inf
20139.16,-1.75,inf
20139.17,0.25,3.75
20139.3,-0.5,6.0
20139.4,-2.25,0.5
20139.5,-2.5,inf
20140.14,1.25,1.25
20140.15,-1.25,inf
20141.12,-2.75,inf
20141.14,-0.5,inf
20141.5,-6.5,inf
20142.18,3.0,inf
20142.22,-1.0,0.0
20143.X,0.5,2.75
20144.14,-0.75,1.5
20144.9,-1.75,inf
20145.1,-1.25,inf
20145.10,-1.0,0.0
20145.12,-2.25,inf
20145.14,0.25,1.25
20145.4,0.75,0.75
20145.8,-2.0,inf
20145.9,1.0,3.5
20145.X,0.75,1.0
20146.17,0.25,6.0
20146.4,-2.25,0.75
20148.1,-1.75,0.25
20151.14,-0.75,0.25
20151.17,0.75,5.25
20154.4,-0.25,0.5
20154.9,2.5,4.25
20157.11,2.0,3.25
20158.1,1.5,inf
20158.9,-1.75,-0.75
20159.1,0.0,2.0
20159.14,0.25,1.25
20159.15,1.5,3.75
20159.3,0.25,1.75
20159.4,0.75,2.0
20159.9,-2.0,0.25
20160.14,-1.75,inf
20160.17,2.0,5.25
20160.4,1.0,inf
20160.5,0.5,1.0
20161.1,-2.25,inf
20161.12,-1.75,inf
20161.22,-1.0,inf
20162.12,-1.5,inf
20162.17,0.25,5.5
20162.7,2.0,2.0
20163.1,-6.0,inf
20163.7,-2.0,-0.25
20163.9,-1.5,-0.25
20164.1,-1.0,-0.25
20164.14,1.0,1.5
20164.4,-2.75,inf
20165.15,1.0,inf
20165.22,-0.75,3.5
20165.4,-3.0,inf
20166.12,-2.0,inf
20166.17,1.0,4.0
20166.4,-0.75,0.5
20167.22,-0.75,0.5
20167.4,-2.75,0.0
20168.11,-2.25,-0.75
20168.16,-2.25,inf
20168.17,-0.5,6.0
20168.19,1.25,inf
20168.4,-0.5,inf
20169.10,-2.25,inf
20169.14,-0.75,1.5
20169.9,0.75,4.5
20170.17,-0.25,inf
20171.12,-3.25,inf
20171.16,-1.0,-0.75
20171.17,-0.75,0.0
20172.20,-0.25,0.5
20172.3,2.25,3.25
20173.19,-0.75,0.0
20177.20,1.0,3.25
20178.20,2.0,3.5
20183.20,0.5,inf
20184.22,1.0,2.5
20186.22,0.25,2.75
204.2,-3.0,inf
207.10,-2.25,1.25
207.12,-3.0,inf
207.15,-2.5,inf
207.17,-2.5,inf
207.18,-2.75,1.25
207.4,-3.5,inf
207.5,-1.75,1.25
217.17,-3.0,inf
219.2,-2.75,-0.75
219.5,-3.0,inf
220.11,-1.75,inf
220.17,-2.75,inf
220.19,-4.0,-0.75
220.2,-2.0,inf
220.20,-3.5,inf
220.7,-2.25,inf
226.1,-1.75,inf
227.1,-2.25,inf
227.2,-3.5,inf
227.4,-3.25,inf
247.1,-2.75,2.0
247.11,-0.75,inf
247.20,-4.0,0.75
247.4,-2.0,1.5
247.X,-2.75,0.0
257.1,0.0,inf
257.10,-3.25,inf
257.17,-1.0,inf
26.11,-1.75,inf
26.17,-0.5,1.25
26.4,-2.25,-1.0
26.8,-3.5,inf
268.3,-1.75,inf
270.11,1.25,inf
273.17,-3.0,inf
273.6,-1.5,1.5
275.1,-2.0,inf
275.2,-1.5,0.5
294.1,-0.75,inf
30001.3,1.25,1.5
30001.8,0.75,3.75
30011.11,3.25,4.75
30011.13,3.0,inf
30011.15,-1.25,1.75
30011.2,1.5,5.75
30011.22,0.25,2.5
30011.7,1.0,inf
30011.8,0.75,2.5
30016.6,1.5,4.0
30020.4,2.75,4.5
30022.12,-2.75,5.0
30022.17,1.0,4.75
30022.9,-0.25,2.5
30023.17,1.5,2.75
30023.9,0.25,inf
30024.17,0.0,5.5
30024.4,1.75,3.0
30024.6,2.75,4.25
311.1,-1.75,3.0
311.11,-2.0,inf
311.15,-0.5,inf
311.16,-2.0,inf
311.20,-3.25,inf
311.7,-1.5,inf
314.1,1.0,inf
314.5,-1.75,inf
314.8,-2.25,inf
316.1,-3.0,inf
316.10,-4.75,inf
316.12,-4.0,1.25
316.15,-3.75,inf
316.20,-4.5,inf
316.7,-3.5,inf
329.11,-2.75,1.0
329.17,-0.25,inf
329.18,-3.0,1.0
329.4,-1.5,0.0
329.6,-2.75,inf
329.8,-2.5,inf
33.1,0.0,inf
33.3,-2.25,2.5
33.6,-4.0,0.5
33.7,-3.75,inf
330.1,-2.0,inf
330.16,-2.25,inf
330.17,-2.25,inf
331.1,-1.0,3.0
331.11,-1.0,2.5
331.12,-1.75,inf
331.16,-1.75,1.5
331.17,-1.75,-1.0
331.2,-2.0,1.75
331.20,-4.25,inf
331.4,0.0,1.25
331.5,-2.0,inf
331.6,-1.5,0.75
332.1,0.0,3.0
332.18,-1.75,-0.25
332.6,-0.75,inf
332.7,-0.5,inf
340.1,-1.5,1.75
340.6,-1.25,inf
340.9,-0.5,inf
341.1,1.0,inf
349.1,-2.0,2.0
349.17,-3.25,inf
349.2,-2.75,0.25
352.17,-3.25,inf
352.3,-1.0,inf
360.1,-1.25,2.5
364.2,-4.0,inf
371.10,-2.75,inf
371.14,-2.75,inf
371.17,-1.5,inf
373.14,-3.5,inf
375.1,-1.75,2.5
375.12,-1.75,inf
375.3,-1.0,inf
375.4,-1.75,1.25
375.7,-2.25,inf
378.1,-0.5,2.75
378.10,-0.75,inf
378.11,-0.75,inf
378.7,-0.25,inf
39.1,-0.25,inf
39.11,-1.75,1.0
39.20,-3.0,0.0
39.8,-3.25,-0.75
419.11,-1.5,inf
421.5,-2.75,inf
429.11,-3.0,inf
429.17,-0.25,1.25
429.5,-3.25,inf
44.17,-2.5,2.5
44.19,-3.5,inf
44.3,-3.25,1.5
44.5,-0.5,inf
44.7,-3.25,inf
441.11,-3.75,inf
446.1,-1.0,1.5
446.10,-3.0,inf
446.11,-3.25,inf
446.17,-1.75,inf
446.2,-2.0,1.5
446.3,-2.25,0.75
