dataset,model,num_layers,hidden_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
systematic,gru,1,2,1,63,0.11982302672156347,0.15991829806409538,0.11030023884702946,94576.64016723633
systematic,gru,1,2,1,63,0.11952912188311289,0.15899234239625737,0.1077271043004338,653.754447221756
systematic,gru,1,2,2,155,0.12005554331823873,0.12542078375575472,0.1568908281478848,1161.504634141922
systematic,gru,1,2,3,288,0.0743907393425476,0.06060294299912575,0.06813754496274908,1896.1975820064545
systematic,gru,1,2,4,168,0.07130275744292255,0.06030875810270357,0.08913862152158687,1236.3676784038544
systematic,gru,1,2,5,93,0.1270375779255229,0.11410841595099291,0.12860839573342372,823.3819856643677
systematic,gru,1,2,6,161,0.08011838495455739,0.05183722713183287,0.10688203013765889,1157.9911589622498
systematic,gru,1,4,1,115,0.0620621539946401,0.08355409933391728,0.06266540789815496,948.0229394435883
systematic,gru,1,4,2,74,0.07130163003409962,0.06978272534364997,0.0773920518024457,724.3837373256683
systematic,gru,1,4,2,153,0.06405624149733295,0.058718740601699036,0.07337046981301044,5106.926080942154
systematic,gru,1,4,3,289,0.06054934380963252,0.057715825406398434,0.06726088496579266,8502.32064819336
systematic,gru,1,4,4,56,0.08541769269706526,0.06400372698880617,0.0955590824311162,2648.9587750434875
systematic,gru,1,4,5,22,0.07585572336309705,0.09308534306467607,0.08059999252000509,1816.1550641059875
systematic,gru,1,4,6,99,0.09513243457081254,0.06932940001865255,0.20103175185859035,3693.1397001743317
systematic,gru,1,8,1,65,0.057252217229663886,0.09244808300178978,0.060323142669180464,2917.467683315277
systematic,gru,1,8,2,105,0.059071808354889566,0.0653898487742481,0.07745947859739158,3337.4611394405365
systematic,gru,1,8,3,46,0.06721211811241402,0.05647665625873375,0.0710672023617941,1938.3077476024628
systematic,gru,1,8,4,66,0.05825087578760486,0.05116072323513723,0.08852433734419926,2317.0880165100098
systematic,gru,1,8,5,101,0.051161485057841335,0.08964089623855614,0.06021100595714267,3018.5860691070557
systematic,gru,1,8,6,39,0.07816451943404479,0.037712565830677926,0.11779312206828478,1788.7799689769745
systematic,gru,1,16,1,66,0.04605048388384363,0.09077311303467707,0.09253331334881662,2331.6760857105255
systematic,gru,1,16,2,53,0.05916564952102673,0.052737912567756624,0.08884081048351315,2064.3250184059143
systematic,gru,1,16,3,43,0.06574816701489887,0.06211055444934908,0.07521381281143229,1866.4787237644196
systematic,gru,1,16,4,5,0.2352153542236164,0.18860779860829976,0.23393743815528037,116.33622646331787
systematic,gru,1,16,5,40,0.06538938067630268,0.08402175963406958,0.08370048786789304,1809.0342845916748
systematic,gru,1,16,6,41,0.055940102382745036,0.03958491700020958,0.10063768688209732,1824.1851670742035
systematic,gru,2,2,1,70,0.11874260274868924,0.16859011830575152,0.11345927649150533,3116.3417313098907
systematic,gru,2,2,2,86,0.12597961132891594,0.11610933411149042,0.15196661805152473,3567.810414791107
systematic,gru,2,2,3,95,0.12528315984117816,0.12004960398128452,0.11898531233342957,3583.996713399887
systematic,gru,2,2,4,118,0.12994440289617618,0.10072580159001672,0.1378253194236063,3243.8996810913086
systematic,gru,2,2,5,93,0.0638546095899577,0.08881518058499935,0.07250416825234117,2793.9378876686096
systematic,gru,2,2,6,105,0.12587123243119924,0.12031176163325238,0.19300003860650444,2584.707892894745
systematic,gru,2,4,1,124,0.049247538687035776,0.0793933273814394,0.05476446548068851,2291.5345408916473
systematic,gru,2,4,2,114,0.08255200712580608,0.09954752238664465,0.09207253012427827,1821.1115562915802
systematic,gru,2,4,3,32,0.0789574016899066,0.06385557362785504,0.07279787380406592,527.5744650363922
systematic,gru,2,4,4,134,0.04731803442886059,0.05284065334448027,0.09466975661745987,1172.60582447052
systematic,gru,2,4,5,151,0.07130623511559148,0.09455667757574701,0.09642696595252787,1295.6239244937897
systematic,gru,2,4,6,107,0.061735690826891156,0.040760150902152466,0.10030388115392413,1008.5525872707367
systematic,gru,2,8,1,92,0.04388264593044706,0.08687793449946758,0.10140587738439391,935.2111105918884
systematic,gru,2,8,2,121,0.06709081828001041,0.06456340633004938,0.10546663780721671,1104.5723037719727
systematic,gru,2,8,3,24,0.08194863460463422,0.0669604376309364,0.07582431844897208,488.368599653244
systematic,gru,2,8,4,30,0.06814151868782864,0.059639406527122976,0.081922134297278,524.2760977745056
systematic,gru,2,8,5,33,0.057694345951574535,0.08114203335212357,0.07077440575727428,542.9995367527008
