dataset,model,num_layers,hidden_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
systematic,rnn,1,2,1,48,0.24096468952982855,0.264501157129646,0.2364378450581506,28779.563315868378
systematic,rnn,1,2,2,67,0.2609407703935736,0.3023107710098358,0.2292032670568516,33468.075947999954
systematic,rnn,1,2,3,11,0.2730293269098469,0.2770962190397959,0.18927748479028722,17701.248144626617
systematic,rnn,1,2,4,4,0.27154260777695144,0.23798381671643398,0.2728852328079372,15256.692043066025
systematic,rnn,1,2,5,14,0.2610089634350771,0.22377364666123564,0.32201421507188205,18372.614660024643
systematic,rnn,1,2,6,135,0.2508573403830006,0.25164327631692257,0.32463474915731383,52493.67854332924
systematic,rnn,1,4,1,2,0.260398054458896,0.2940243371742422,0.2640777763594534,15235.39352607727
systematic,rnn,1,4,2,125,0.18172026030580263,0.15070604272168886,0.1699770854243788,35240.238535642624
systematic,rnn,1,4,3,39,0.24532493512576756,0.24599681855838035,0.16182312685276357,11564.830955505371
systematic,rnn,1,4,4,3,0.27219533292208453,0.23810234529378807,0.27230505584601605,14729.186419963837
